No.	X	Y	Z
	-14	-401	 670
	 136	-55	-578
	 27	 468	 499
	 49	-47	 738
	-18	-188	 302
	 87	-114	 489
	-61	-165	-573
	 65	 404	 146
	 99	-26	 567
	 8	 6	 171
	 218	-271	 122
	 432	 20	 344
	 4	-397	 700
	 136	-49	-582
	 3	 475	 505
	 55	-58	 732
	-6	-185	 313
	 80	-114	 472
	-72	-162	-573
	 57	 399	 143
	 103	-28	 567
	-3	 4	 154
	 222	-268	 120
	 425	 23	 347
	 0	-392	 680
	 126	-46	-558
	 7	 474	 510
	 59	-56	 744
	-8	-197	 308
	 95	-116	 498
	-68	-174	-588
	 64	 406	 146
	 94	-22	 549
	 3	 4	 166
	 226	-265	 126
	 421	 25	 350
	 1	-399	 683
	 137	-46	-579
	 18	 468	 489
	 52	-60	 725
	-10	-194	 305
	 90	-113	 495
	-65	-156	-565
	 58	 395	 156
	 97	-21	 560
	 0	-6	 167
	 226	-260	 121
	 437	 23	 341
	 0	-396	 689
	 130	-51	-570
	 14	 465	 497
	 50	-62	 738
	-8	-182	 298
	 79	-116	 499
	-55	-165	-568
	 68	 402	 143
	 103	-25	 558
	 4	 5	 158
	 224	-259	 115
	 423	 27	 358
	-7	-408	 683
	 123	-49	-577
	 11	 463	 492
	 51	-63	 738
	-8	-182	 292
	 87	-121	 486
	-61	-176	-578
	 60	 403	 155
	 101	-19	 575
	-4	-1	 153
	 214	-268	 119
	 430	 21	 370
	-9	-397	 688
	 132	-44	-583
	 9	 464	 490
	 50	-68	 735
	-10	-203	 301
	 91	-134	 492
	-70	-170	-568
	 64	 407	 157
	 100	-26	 575
	-8	 2	 151
	 227	-267	 122
	 438	 24	 342
	 2	-391	 681
	 134	-48	-570
	 15	 473	 488
	 46	-62	 733
	-3	-175	 313
	 81	-115	 489
	-70	-167	-584
	 63	 392	 151
	 111	-22	 559
	 0	 7	 176
	 221	-275	 125
	 435	 27	 355
	-4	-410	 686
	 132	-47	-588
	 17	 471	 492
	 50	-72	 734
	-10	-186	 303
	 90	-114	 487
	-68	-165	-562
	 58	 399	 135
	 100	-28	 563
	 2	-3	 174
	 223	-262	 125
	 427	 20	 341
	-6	-398	 683
	 134	-44	-583
	 7	 471	 490
	 53	-57	 727
	-15	-197	 291
	 75	-120	 485
	-71	-168	-564
	 54	 393	 144
	 94	-27	 576
	-1	 5	 145
	 229	-272	 108
	 432	 19	 348
	-6	-397	 697
	 128	-39	-572
	 12	 466	 496
	 42	-59	 728
	-8	-188	 310
	 80	-112	 486
	-63	-172	-586
	 57	 405	 156
	 106	-25	 569
	-14	 5	 157
	 224	-265	 106
	 431	 23	 338
	-1	-397	 675
	 135	-42	-565
	 9	 472	 503
	 39	-61	 735
	-5	-182	 313
	 95	-113	 494
	-65	-168	-578
	 61	 411	 140
	 100	-29	 563
	-1	 6	 162
	 223	-267	 117
	 429	 28	 349
	 0	-400	 687
	 127	-51	-571
	 7	 470	 492
	 44	-56	 750
	-20	-179	 301
	 72	-114	 509
	-66	-167	-561
	 64	 410	 130
	 110	-21	 571
	-1	 10	 152
	 231	-270	 133
	 431	 29	 341
	-2	-398	 673
	 138	-39	-581
	 10	 477	 490
	 49	-67	 725
	-18	-190	 289
	 88	-117	 483
	-67	-160	-576
	 61	 393	 155
	 110	-23	 563
	-6	 0	 156
	 223	-267	 115
	 427	 24	 352
	 0	-399	 680
	 130	-50	-578
	 9	 476	 490
	 43	-58	 756
	-17	-188	 283
	 87	-110	 493
	-71	-168	-570
	 69	 400	 140
	 106	-30	 558
	-8	-6	 161
	 227	-264	 104
	 423	 34	 359
	-4	-405	 684
	 137	-35	-598
	 1	 469	 487
	 51	-56	 723
	-21	-187	 295
	 91	-115	 489
	-70	-167	-561
	 59	 398	 150
	 93	-22	 574
	 0	 3	 165
	 226	-268	 119
	 434	 24	 336
	-6	-405	 677
	 126	-54	-575
	-3	 465	 498
	 52	-50	 723
	-14	-188	 299
	 80	-106	 502
	-61	-171	-570
	 56	 407	 150
	 105	-17	 553
	-16	 2	 155
	 218	-272	 114
	 436	 24	 355
	-5	-391	 675
	 135	-50	-580
	 8	 472	 476
	 59	-61	 739
	-9	-196	 301
	 88	-113	 493
	-66	-167	-585
	 66	 405	 141
	 96	-21	 569
	-1	 1	 179
	 222	-269	 107
	 436	 23	 346
	-2	-410	 667
	 134	-44	-579
	 2	 473	 493
	 52	-61	 738
	-3	-181	 310
	 83	-117	 493
	-70	-160	-585
	 67	 403	 147
	 110	-23	 583
	-5	 0	 168
	 229	-280	 123
	 430	 18	 379
	-6	-405	 697
	 132	-44	-575
	 7	 469	 520
	 49	-65	 726
	-17	-179	 291
	 84	-114	 510
	-52	-178	-585
	 67	 398	 159
	 108	-26	 574
	-10	 0	 149
	 228	-272	 117
	 432	 30	 367
	-9	-391	 671
	 140	-48	-565
	 19	 480	 475
	 56	-53	 722
	-2	-188	 307
	 81	-120	 498
	-70	-157	-579
	 53	 402	 164
	 112	-12	 559
	-3	 1	 164
	 226	-268	 126
	 430	 22	 356
	-4	-397	 673
	 129	-44	-561
	 14	 470	 497
	 53	-62	 734
	-14	-191	 307
	 81	-111	 480
	-60	-177	-579
	 62	 403	 138
	 93	-21	 559
	-4	 2	 162
	 213	-263	 112
	 434	 32	 350
	 1	-401	 692
	 126	-42	-558
	 14	 475	 488
	 41	-66	 719
	-13	-191	 302
	 79	-118	 495
	-71	-163	-579
	 60	 398	 143
	 90	-24	 542
	-8	 0	 156
	 219	-268	 132
	 437	 34	 349
	-3	-394	 678
	 127	-44	-587
	 12	 475	 505
	 56	-56	 734
	-21	-189	 302
	 85	-126	 473
	-64	-164	-563
	 54	 405	 135
	 103	-21	 576
	 2	 0	 166
	 223	-265	 119
	 435	 36	 350
	-8	-402	 690
	 137	-47	-570
	 7	 470	 496
	 63	-60	 726
	-14	-184	 291
	 88	-110	 486
	-76	-171	-582
	 56	 402	 143
	 93	-31	 573
	-5	 0	 146
	 221	-269	 124
	 428	 13	 338
	-6	-403	 689
	 137	-44	-585
	 18	 464	 485
	 54	-61	 729
	-18	-195	 299
	 80	-103	 488
	-72	-160	-579
	 58	 396	 150
	 101	-27	 565
	-16	-1	 168
	 217	-272	 117
	 433	 16	 349
	-5	-405	 675
	 120	-52	-579
	 8	 471	 490
	 46	-58	 735
	-17	-188	 309
	 87	-117	 490
	-65	-170	-569
	 63	 402	 149
	 99	-32	 563
	 0	 8	 144
	 215	-270	 131
	 416	 29	 363
	-4	-405	 678
	 127	-56	-601
	 18	 469	 485
	 59	-53	 739
	-7	-188	 295
	 76	-122	 495
	-68	-178	-575
	 58	 393	 167
	 95	-24	 559
	-1	 1	 157
	 224	-267	 126
	 430	 15	 350
	-2	-391	 686
	 137	-54	-570
	 17	 469	 496
	 41	-60	 718
	-23	-181	 293
	 86	-113	 490
	-64	-164	-577
	 60	 407	 151
	 97	-21	 570
	-4	 5	 164
	 232	-257	 129
	 437	 23	 342
	 5	-405	 678
	 142	-51	-562
	 14	 467	 491
	 55	-56	 727
	-16	-187	 296
	 81	-126	 489
	-63	-165	-566
	 59	 403	 147
	 102	-23	 563
	 6	 6	 159
	 226	-274	 108
	 422	 20	 375
	-4	-404	 690
	 132	-53	-562
	 17	 470	 488
	 47	-65	 738
	-10	-190	 310
	 83	-115	 485
	-65	-165	-586
	 59	 394	 144
	 100	-17	 575
	 0	 3	 169
	 221	-262	 118
	 433	 26	 353
	 0	-390	 678
	 137	-40	-575
	 11	 472	 485
	 53	-53	 753
	-12	-186	 301
	 76	-116	 492
	-61	-172	-589
	 52	 401	 155
	 99	-24	 558
	 1	-8	 166
	 228	-269	 110
	 425	 32	 328
	-13	-409	 683
	 126	-47	-589
	 0	 478	 506
	 48	-62	 731
	-11	-187	 302
	 79	-127	 477
	-65	-169	-568
	 62	 406	 151
	 100	-32	 572
	 4	 1	 148
	 224	-269	 118
	 432	 29	 341
	-4	-402	 680
	 132	-45	-577
	 19	 464	 490
	 50	-59	 727
	-13	-184	 288
	 80	-119	 483
	-70	-164	-575
	 70	 401	 154
	 99	-25	 564
	 1	 0	 153
	 218	-263	 107
	 425	 25	 357
	-5	-402	 667
	 133	-43	-586
	 19	 461	 503
	 44	-55	 748
	-22	-189	 287
	 86	-110	 498
	-70	-175	-594
	 58	 398	 149
	 96	-34	 556
	-3	 3	 147
	 221	-259	 114
	 430	 21	 329
	-1	-397	 692
	 139	-39	-578
	 13	 468	 494
	 53	-66	 736
	-14	-188	 307
	 86	-109	 501
	-67	-173	-568
	 52	 395	 137
	 93	-25	 567
	 0	-6	 171
	 217	-268	 114
	 433	 28	 376
	-12	-399	 678
	 131	-50	-584
	 14	 470	 497
	 47	-66	 733
	-10	-203	 289
	 98	-108	 496
	-64	-169	-574
	 66	 396	 154
	 97	-23	 568
	-7	-5	 168
	 218	-275	 139
	 424	 21	 356
	-4	-403	 678
	 139	-49	-583
	 13	 468	 499
	 63	-59	 749
	-14	-192	 311
	 76	-124	 493
	-65	-173	-575
	 60	 396	 136
	 89	-33	 560
	 3	-6	 161
	 227	-267	 107
	 432	 21	 349
	-1	-392	 682
	 132	-40	-570
	 18	 469	 496
	 43	-59	 746
	-11	-186	 302
	 83	-120	 490
	-77	-171	-590
	 61	 404	 156
	 96	-31	 559
	-3	 7	 165
	 228	-268	 131
	 435	 22	 348
	-1	-384	 670
	 133	-42	-587
	 10	 473	 505
	 37	-64	 750
	-6	-193	 293
	 81	-113	 495
	-64	-177	-574
	 68	 408	 159
	 99	-15	 582
	-12	 3	 144
	 211	-269	 114
	 426	 24	 345
	-4	-407	 687
	 139	-54	-579
	 14	 470	 495
	 68	-62	 735
	-3	-194	 298
	 83	-122	 501
	-64	-170	-584
	 55	 402	 139
	 107	-19	 573
	-15	 2	 159
	 220	-267	 119
	 436	 24	 356
	 0	-403	 673
	 135	-50	-579
	 14	 468	 486
	 56	-66	 744
	 0	-198	 288
	 80	-111	 482
	-69	-159	-581
	 61	 414	 154
	 108	-18	 565
	 0	 9	 154
	 224	-268	 106
	 432	 26	 348
	-17	-398	 669
	 137	-55	-565
	 14	 476	 499
	 47	-66	 739
	-18	-183	 325
	 84	-117	 471
	-70	-176	-596
	 66	 401	 148
	 99	-18	 567
	-6	 5	 156
	 225	-271	 113
	 430	 21	 361
	-5	-395	 681
	 136	-45	-578
	 11	 461	 483
	 44	-59	 738
	-10	-184	 296
	 83	-117	 493
	-57	-174	-576
	 59	 401	 139
	 103	-24	 564
	-4	 3	 172
	 231	-267	 114
	 436	 26	 343
	-4	-397	 682
	 130	-38	-574
	 14	 471	 478
	 45	-56	 738
	-18	-187	 306
	 78	-110	 485
	-68	-167	-587
	 60	 405	 137
	 107	-22	 590
	-12	 12	 153
	 214	-267	 101
	 434	 22	 351
	 2	-401	 677
	 123	-47	-572
	 20	 468	 492
	 51	-70	 748
	-12	-178	 310
	 84	-112	 483
	-62	-161	-581
	 58	 413	 145
	 97	-19	 551
	-6	-1	 146
	 226	-260	 127
	 435	 35	 351
	-14	-397	 693
	 131	-43	-585
	 16	 465	 521
	 58	-62	 725
	-12	-190	 297
	 79	-115	 504
	-76	-172	-572
	 55	 405	 144
	 94	-19	 568
	-1	 0	 161
	 222	-265	 104
	 438	 30	 358
	-3	-401	 683
	 138	-39	-559
	 9	 488	 475
	 47	-55	 741
	-24	-190	 305
	 76	-116	 488
	-67	-165	-578
	 49	 409	 147
	 97	-14	 557
	-3	-4	 179
	 214	-260	 119
	 432	 19	 346
	-2	-399	 686
	 139	-48	-580
	 10	 467	 503
	 44	-68	 747
	-6	-196	 311
	 78	-108	 488
	-57	-179	-572
	 63	 413	 154
	 101	-26	 572
	 0	 3	 171
	 223	-277	 113
	 436	 21	 352
	 5	-400	 673
	 142	-46	-574
	 4	 464	 496
	 39	-60	 740
	-12	-187	 303
	 72	-118	 501
	-66	-172	-573
	 50	 400	 149
	 101	-28	 565
	 1	-8	 168
	 217	-269	 122
	 425	 22	 340
	-17	-400	 686
	 130	-49	-586
	 5	 472	 475
	 47	-60	 742
	-12	-189	 295
	 76	-112	 484
	-62	-164	-567
	 63	 400	 154
	 100	-29	 583
	-6	 0	 142
	 225	-266	 131
	 425	 21	 338
	-3	-397	 681
	 125	-46	-572
	 19	 460	 497
	 32	-55	 728
	-18	-186	 299
	 90	-119	 503
	-70	-161	-569
	 53	 408	 148
	 98	-23	 558
	 0	 2	 166
	 219	-260	 118
	 434	 19	 357
	-7	-394	 680
	 129	-46	-571
	 13	 477	 491
	 45	-67	 747
	-14	-184	 317
	 89	-119	 482
	-59	-169	-572
	 57	 404	 154
	 97	-24	 580
	-4	-3	 156
	 234	-268	 107
	 428	 29	 351
	-17	-403	 684
	 126	-49	-582
	 16	 471	 504
	 50	-64	 754
	-10	-184	 288
	 86	-112	 493
	-65	-179	-585
	 59	 401	 152
	 104	-21	 560
	-3	-1	 177
	 217	-273	 132
	 429	 21	 353
	 2	-394	 684
	 137	-41	-582
	 8	 473	 493
	 49	-64	 731
	-22	-177	 295
	 84	-121	 475
	-73	-162	-578
	 60	 404	 129
	 89	-9	 538
	 1	 6	 149
	 228	-272	 113
	 422	 30	 376
	 0	-397	 683
	 148	-45	-592
	 8	 468	 495
	 45	-62	 740
	-11	-190	 291
	 85	-111	 488
	-64	-153	-571
	 66	 400	 144
	 103	-26	 549
	 1	 0	 166
	 227	-275	 112
	 433	 28	 367
	-14	-402	 675
	 128	-37	-573
	 14	 469	 500
	 48	-63	 720
	-3	-188	 292
	 89	-120	 494
	-63	-168	-577
	 58	 403	 138
	 100	-20	 564
	-6	 1	 166
	 218	-262	 128
	 432	 28	 356
	-1	-388	 688
	 140	-44	-580
	 11	 469	 499
	 46	-57	 731
	-15	-198	 317
	 81	-113	 493
	-61	-172	-567
	 59	 402	 147
	 100	-21	 567
	-6	 1	 147
	 228	-271	 117
	 431	 23	 350
	-8	-397	 690
	 132	-43	-574
	 25	 471	 476
	 48	-61	 749
	-2	-184	 319
	 89	-106	 467
	-60	-172	-571
	 67	 408	 145
	 99	-26	 584
	 6	-2	 160
	 222	-268	 129
	 436	 28	 358
	-3	-398	 677
	 129	-52	-582
	 7	 472	 488
	 51	-60	 735
	-14	-185	 288
	 76	-113	 489
	-56	-170	-586
	 57	 409	 139
	 91	-16	 568
	-5	 7	 164
	 217	-270	 122
	 437	 27	 372
	-4	-401	 686
	 136	-42	-573
	 15	 467	 490
	 45	-59	 739
	-16	-201	 299
	 88	-113	 482
	-66	-164	-582
	 60	 402	 156
	 95	-18	 560
	-11	 13	 166
	 219	-264	 126
	 430	 34	 372
	-2	-389	 687
	 133	-40	-568
	 17	 465	 510
	 35	-48	 749
	-10	-188	 305
	 73	-121	 489
	-80	-169	-578
	 62	 399	 133
	 91	-22	 564
	-4	 4	 156
	 214	-266	 109
	 424	 20	 347
	-8	-395	 692
	 137	-40	-571
	 12	 478	 475
	 45	-54	 755
	-12	-192	 298
	 75	-118	 496
	-64	-168	-551
	 52	 399	 144
	 106	-29	 561
	 0	-3	 174
	 224	-263	 118
	 436	 28	 356
	-3	-401	 675
	 130	-40	-582
	 8	 466	 485
	 59	-69	 749
	-20	-188	 297
	 81	-114	 484
	-70	-169	-566
	 60	 391	 142
	 92	-29	 551
	 0	-1	 159
	 216	-267	 118
	 438	 36	 349
	 1	-405	 680
	 136	-35	-591
	 7	 470	 483
	 49	-64	 752
	-6	-187	 298
	 77	-116	 503
	-68	-175	-595
	 55	 403	 144
	 93	-26	 578
	-2	-3	 149
	 222	-264	 124
	 426	 24	 345
	 0	-398	 690
	 133	-43	-565
	 16	 473	 490
	 52	-69	 738
	-14	-188	 292
	 82	-112	 502
	-66	-161	-576
	 59	 405	 146
	 92	-26	 550
	-1	 4	 159
	 222	-269	 124
	 432	 28	 359
	-1	-399	 677
	 133	-42	-568
	 3	 478	 493
	 41	-56	 739
	-11	-195	 294
	 87	-115	 476
	-63	-176	-577
	 63	 405	 138
	 101	-31	 567
	-3	 0	 156
	 232	-267	 112
	 427	 28	 352
	 2	-401	 690
	 124	-49	-556
	 17	 463	 500
	 45	-65	 739
	-14	-197	 300
	 83	-114	 505
	-60	-163	-584
	 64	 402	 154
	 93	-28	 568
	 3	 5	 152
	 220	-258	 116
	 429	 29	 351
	-4	-400	 675
	 132	-39	-572
	 7	 473	 486
	 57	-54	 748
	-13	-191	 309
	 85	-108	 483
	-64	-168	-563
	 66	 400	 134
	 103	-18	 575
	-3	 8	 167
	 223	-276	 119
	 431	 33	 362
	 1	-402	 680
	 139	-39	-580
	 18	 464	 505
	 49	-63	 727
	-15	-192	 308
	 81	-110	 479
	-70	-176	-561
	 63	 403	 160
	 102	-18	 554
	-9	-3	 175
	 218	-276	 109
	 435	 36	 344
	-6	-404	 690
	 134	-45	-572
	 13	 469	 497
	 53	-60	 746
	-26	-187	 294
	 77	-118	 492
	-64	-171	-564
	 62	 402	 149
	 94	-19	 559
	 0	 1	 164
	 220	-260	 123
	 430	 26	 350
	 0	-401	 681
	 137	-36	-575
	 13	 483	 505
	 49	-56	 759
	-9	-192	 293
	 84	-117	 480
	-69	-175	-585
	 73	 392	 140
	 102	-35	 575
	 0	 8	 157
	 229	-268	 116
	 430	 34	 329
	 0	-392	 670
	 143	-40	-566
	 14	 473	 493
	 42	-64	 747
	-21	-193	 311
	 87	-108	 476
	-72	-153	-584
	 67	 400	 141
	 104	-22	 567
	-8	 4	 162
	 230	-271	 121
	 439	 29	 350
	-7	-394	 671
	 128	-48	-572
	 10	 477	 501
	 60	-68	 739
	-13	-197	 310
	 84	-111	 475
	-62	-165	-580
	 63	 398	 162
	 95	-27	 547
	 4	-2	 162
	 226	-270	 126
	 427	 28	 340
	 1	-396	 676
	 135	-46	-560
	 7	 463	 493
	 49	-48	 756
	-8	-184	 315
	 79	-120	 477
	-61	-172	-575
	 65	 404	 147
	 98	-21	 568
	-5	 3	 164
	 227	-266	 114
	 429	 25	 356
	-7	-396	 675
	 126	-41	-569
	 8	 473	 497
	 53	-59	 744
	-15	-188	 311
	 78	-107	 502
	-68	-173	-576
	 60	 403	 142
	 106	-25	 564
	-9	 5	 154
	 226	-264	 114
	 426	 22	 361
	 3	-400	 675
	 130	-39	-561
	 4	 472	 484
	 53	-60	 737
	-19	-187	 300
	 98	-118	 499
	-60	-177	-572
