X	Y	Z
 211	-258	 204
 460	 50	 497
-4	-400	 781
 200	-54	-369
-25	 483	 473
 22	-91	 767
-49	-164	 320
 56	-135	 554
-86	-185	-533
 65	 342	 204
 85	-55	 633
 14	-16	 219
 216	-246	 206
 473	 52	 515
 5	-404	 824
 176	-52	-372
-22	 468	 492
 33	-81	 752
-51	-166	 314
 55	-148	 547
-84	-196	-538
 52	 338	 210
 81	-61	 623
 4	-7	 230
 226	-249	 214
 460	 61	 506
 2	-396	 806
 197	-54	-349
-13	 476	 498
 19	-78	 765
-49	-155	 307
 52	-139	 571
-90	-195	-526
 57	 342	 216
 79	-47	 627
 4	-10	 219
 216	-248	 204
 464	 61	 502
-2	-392	 817
 186	-53	-355
-25	 470	 492
 15	-82	 772
-51	-157	 311
 60	-146	 537
-75	-192	-529
 46	 338	 199
 95	-51	 613
 4	-3	 210
 224	-252	 188
 464	 61	 514
 2	-405	 804
 191	-68	-363
-33	 486	 465
 26	-90	 744
-54	-159	 321
 48	-145	 549
-86	-186	-535
 57	 336	 208
 88	-40	 630
 0	-8	 211
 214	-256	 213
 458	 52	 491
 11	-399	 788
 194	-61	-361
-23	 475	 505
 24	-94	 774
-50	-153	 322
 61	-140	 558
-85	-194	-526
 69	 356	 208
 90	-41	 620
 4	-5	 229
 219	-250	 211
 463	 57	 510
 0	-388	 806
 189	-56	-369
-21	 484	 500
 30	-81	 762
-50	-161	 331
 53	-133	 547
-90	-193	-549
 66	 340	 214
 91	-44	 620
 14	-4	 207
 217	-250	 209
 446	 65	 522
-6	-395	 800
 193	-52	-345
-23	 475	 508
 28	-78	 777
-50	-160	 336
 58	-138	 556
-83	-193	-553
 56	 351	 223
 79	-42	 620
 19	-3	 209
 212	-247	 205
 460	 50	 508
 3	-406	 780
 188	-52	-363
-28	 484	 484
 23	-82	 767
-43	-158	 332
 51	-131	 535
-82	-192	-538
 53	 344	 206
 90	-57	 592
 0	 4	 228
 211	-245	 218
 460	 67	 512
 7	-394	 802
 183	-47	-354
-26	 486	 509
 35	-85	 780
-56	-168	 321
 58	-145	 533
-80	-183	-535
 76	 338	 211
 99	-45	 624
 11	 0	 217
 216	-256	 215
 462	 55	 509
-1	-399	 790
 189	-52	-360
-31	 480	 500
 21	-89	 777
-45	-161	 310
 62	-137	 540
-83	-193	-552
 57	 347	 203
 89	-60	 631
 13	-11	 240
 221	-236	 202
 459	 58	 507
-7	-408	 807
 185	-55	-350
-25	 485	 500
 20	-82	 765
-46	-157	 311
 63	-139	 551
-91	-189	-528
 47	 357	 240
 86	-51	 636
 3	-11	 218
 225	-241	 195
 465	 63	 527
 7	-395	 807
 203	-51	-364
-27	 470	 475
 26	-79	 769
-55	-161	 311
 66	-135	 544
-90	-189	-545
 62	 332	 219
 95	-47	 626
 3	-17	 217
 211	-249	 190
 461	 47	 502
 6	-396	 807
 181	-59	-360
-17	 480	 493
 10	-91	 763
-43	-162	 327
 51	-136	 543
-81	-187	-529
 53	 339	 210
 91	-51	 621
 4	-10	 191
 209	-245	 213
 468	 55	 497
 10	-402	 802
 186	-52	-358
-25	 478	 486
 24	-85	 772
-42	-170	 309
 55	-128	 557
-86	-189	-530
 71	 348	 196
 81	-52	 629
 2	 0	 201
 214	-257	 217
 461	 49	 496
 7	-398	 811
 181	-59	-365
-17	 489	 508
 23	-86	 765
-41	-166	 333
 57	-133	 533
-88	-187	-533
 57	 349	 219
 86	-46	 631
 1	-18	 211
 216	-251	 208
 471	 57	 493
 2	-391	 814
 189	-55	-360
-29	 476	 489
 24	-91	 763
-47	-175	 308
 58	-138	 535
-75	-191	-524
 65	 347	 203
 73	-49	 620
 2	-8	 219
 221	-244	 221
 459	 51	 517
-1	-400	 789
 190	-53	-366
-22	 500	 494
 24	-73	 762
-54	-168	 318
 53	-143	 531
-82	-181	-538
 66	 343	 221
 89	-52	 634
 12	-12	 215
 217	-253	 221
 457	 54	 506
 2	-404	 801
 189	-45	-383
-23	 485	 488
 22	-80	 762
-51	-163	 322
 56	-138	 538
-86	-183	-532
 72	 340	 221
 91	-59	 613
 4	 1	 207
 219	-245	 218
 465	 54	 503
-6	-394	 802
 191	-51	-358
-34	 477	 493
 28	-74	 762
-50	-167	 321
 55	-143	 547
-88	-190	-542
 59	 354	 217
 92	-55	 603
-1	-4	 216
 221	-245	 212
 460	 65	 511
 2	-394	 797
 195	-46	-358
-28	 476	 490
 28	-77	 764
-51	-150	 356
 52	-138	 555
-88	-199	-529
 57	 347	 236
 93	-51	 627
 5	-5	 226
 206	-257	 213
 461	 52	 500
 0	-397	 805
 191	-57	-368
-24	 476	 500
 18	-80	 764
-52	-159	 323
 65	-138	 547
-77	-188	-540
 69	 346	 217
 79	-48	 614
 4	-9	 226
 216	-251	 202
 469	 50	 518
-6	-402	 796
 202	-53	-367
-30	 481	 496
 20	-74	 763
-54	-160	 332
 56	-130	 548
-84	-197	-529
 57	 345	 211
 90	-47	 618
 10	-2	 228
 214	-251	 195
 454	 52	 509
-10	-399	 792
 194	-54	-369
-26	 484	 494
 27	-94	 764
-49	-168	 331
 61	-141	 554
-85	-193	-524
 56	 344	 211
 83	-57	 629
 0	-1	 217
 212	-254	 219
 451	 65	 516
-11	-395	 807
 190	-49	-377
-23	 491	 496
 13	-86	 775
-55	-160	 321
 56	-131	 554
-86	-187	-523
 65	 344	 211
 89	-47	 618
 1	 0	 228
 212	-245	 201
 464	 46	 508
-2	-398	 797
 190	-56	-354
-24	 489	 501
 18	-80	 784
-44	-162	 316
 50	-145	 550
-79	-194	-550
 60	 345	 220
 97	-60	 616
 0	-5	 219
 222	-256	 211
 468	 56	 518
 6	-402	 790
 184	-62	-375
-35	 487	 501
 24	-89	 770
-56	-156	 315
 60	-144	 546
-87	-197	-534
 54	 347	 218
 81	-56	 627
 4	-5	 218
 224	-251	 202
 458	 50	 523
 6	-390	 795
 187	-50	-348
-21	 490	 508
 19	-80	 761
-61	-162	 321
 48	-133	 554
-84	-183	-530
 58	 339	 211
 94	-52	 625
 5	-4	 216
 212	-247	 199
 470	 50	 490
 3	-391	 798
 188	-57	-365
-31	 480	 476
 19	-86	 739
-51	-171	 327
 68	-146	 546
-87	-184	-550
 72	 340	 212
 80	-45	 614
 18	-3	 215
 213	-250	 212
 464	 47	 494
-12	-405	 801
 194	-50	-358
-34	 481	 486
 25	-80	 775
-48	-162	 314
 60	-141	 545
-83	-198	-535
 58	 343	 228
 90	-49	 646
 6	-10	 218
 216	-253	 201
 461	 65	 503
-5	-391	 795
 189	-66	-351
-23	 484	 495
 21	-81	 770
-46	-163	 321
 61	-139	 558
-91	-175	-523
 63	 341	 203
 83	-46	 623
 9	-5	 245
 225	-247	 213
 460	 59	 519
-7	-401	 818
 191	-60	-361
-16	 483	 477
 18	-83	 757
-62	-154	 324
 62	-135	 560
-90	-196	-531
 59	 353	 203
 97	-56	 628
 5	-8	 238
 216	-242	 217
 460	 58	 500
 3	-404	 805
 198	-53	-354
-25	 486	 488
 24	-80	 765
-55	-164	 322
 53	-136	 534
-88	-189	-523
 57	 344	 209
 83	-49	 617
 2	-14	 234
 215	-258	 212
 456	 59	 505
-1	-396	 809
 190	-61	-371
-26	 485	 509
 16	-82	 754
-50	-156	 314
 57	-132	 546
-94	-191	-539
 62	 339	 213
 90	-55	 630
 12	-1	 231
 218	-261	 188
 459	 56	 516
 3	-403	 789
 186	-44	-356
-24	 474	 499
 21	-86	 756
-39	-157	 306
 53	-138	 548
-84	-194	-528
 61	 352	 216
 85	-48	 615
 13	-10	 222
 219	-250	 209
 467	 50	 511
 3	-399	 802
 192	-48	-361
-24	 473	 489
 19	-96	 762
-50	-165	 331
 64	-136	 554
-84	-194	-521
 48	 342	 204
 91	-51	 627
-2	-3	 219
 213	-256	 222
 462	 62	 502
-3	-396	 818
 178	-57	-366
-27	 479	 499
 28	-84	 749
-55	-167	 325
 59	-142	 528
-84	-191	-534
 57	 354	 223
 84	-60	 641
 9	-14	 212
 220	-245	 206
 455	 50	 520
-5	-397	 781
 187	-57	-368
-32	 490	 476
 23	-77	 754
-50	-173	 318
 56	-146	 558
-86	-187	-550
 63	 346	 226
 87	-55	 632
 4	-2	 232
 225	-246	 197
 456	 55	 506
 1	-414	 797
 196	-50	-364
-15	 483	 487
 15	-85	 747
-57	-170	 322
 52	-136	 546
-74	-191	-527
 65	 355	 208
 99	-56	 611
 13	-11	 237
 217	-252	 201
 469	 62	 515
-4	-405	 801
 195	-54	-368
-26	 478	 503
 11	-93	 767
-48	-163	 332
 66	-147	 558
-79	-183	-522
 57	 341	 213
 89	-53	 607
 4	-5	 210
 212	-235	 211
 456	 54	 495
 6	-396	 799
 189	-57	-366
-24	 483	 499
 15	-85	 759
-49	-159	 327
 60	-139	 547
-92	-189	-536
 73	 344	 218
 89	-50	 611
 1	-2	 212
 220	-255	 205
 464	 53	 523
 0	-404	 790
 193	-48	-371
-28	 486	 510
 12	-88	 784
-48	-164	 318
 59	-139	 544
-80	-187	-531
 63	 348	 219
 83	-51	 626
 0	 1	 223
 221	-248	 221
 458	 50	 505
-1	-393	 819
 194	-54	-355
-26	 473	 481
 22	-80	 772
-44	-166	 340
 62	-146	 557
-81	-190	-529
 59	 338	 201
 90	-61	 627
-8	-9	 225
 216	-258	 202
 455	 65	 502
 3	-399	 794
 189	-55	-364
-29	 480	 479
 26	-86	 772
-34	-174	 323
 54	-136	 543
-91	-197	-506
 61	 347	 219
 79	-47	 620
 7	-6	 209
 215	-256	 207
 462	 68	 518
 7	-397	 788
 178	-57	-354
-26	 488	 480
 17	-78	 775
-57	-162	 317
 61	-131	 521
-85	-191	-523
 63	 345	 223
 80	-50	 627
 10	-7	 222
 220	-254	 210
 462	 55	 509
 4	-397	 802
 188	-50	-367
-30	 491	 487
 24	-82	 789
-57	-154	 330
 62	-149	 548
-83	-198	-546
 56	 341	 192
 87	-56	 607
 6	-4	 215
 215	-249	 211
 460	 57	 500
 5	-397	 799
 187	-53	-358
-32	 484	 488
 26	-104	 763
-47	-159	 317
 66	-133	 542
-81	-180	-544
 66	 341	 218
 89	-62	 626
 2	-22	 216
 210	-255	 209
 464	 59	 520
 13	-399	 786
 194	-54	-376
-31	 487	 476
 18	-75	 770
-44	-166	 321
 60	-135	 556
-94	-191	-542
 68	 348	 205
 97	-51	 617
 4	-13	 216
 218	-258	 192
 453	 51	 517
-3	-396	 822
 187	-51	-352
-25	 483	 479
 12	-83	 771
-42	-166	 322
 62	-139	 553
-73	-193	-531
 60	 348	 195
 90	-55	 625
 8	-4	 222
 218	-247	 212
 474	 59	 521
 2	-397	 793
 190	-61	-359
-23	 478	 477
 24	-79	 769
-47	-165	 315
 61	-138	 550
-83	-181	-524
 61	 356	 214
 90	-55	 639
 20	-7	 221
 215	-249	 212
 472	 56	 518
-2	-395	 810
 183	-60	-372
-20	 467	 480
 25	-89	 774
-37	-153	 308
 56	-142	 553
-94	-193	-537
 60	 346	 210
 81	-54	 630
-12	-19	 216
 210	-259	 215
 445	 65	 507
-10	-390	 813
 201	-45	-358
-32	 472	 499
 24	-80	 767
-60	-163	 323
 42	-142	 551
-85	-195	-540
 64	 347	 228
 83	-47	 624
 3	 1	 224
 224	-241	 214
 468	 57	 507
 0	-397	 814
 196	-48	-355
-29	 487	 481
 27	-81	 744
-42	-168	 324
 45	-131	 568
-76	-188	-532
 64	 349	 200
 96	-50	 619
 0	 0	 211
 214	-259	 215
 462	 64	 508
 2	-403	 791
 187	-51	-355
-35	 482	 493
 23	-91	 774
-44	-172	 321
 64	-140	 521
-92	-191	-530
 71	 348	 203
 82	-46	 614
 6	-8	 227
 207	-256	 201
 472	 51	 511
-1	-396	 797
 190	-68	-363
-29	 484	 499
 18	-88	 771
-50	-152	 319
 56	-137	 538
-83	-188	-538
 59	 344	 207
 95	-50	 625
 2	 5	 229
 215	-250	 223
 455	 57	 507
-2	-411	 802
 195	-52	-361
